Code_DPT;Libelle_DPT;Partitipation;abstentitons;votes1;votes2
03;Allier;Saint-Bonnet-Tronçais;434;124;206;191
03;Allier;Saint-Clément;216;68;109;78
03;Allier;Saint-Fargeol;126;35;73;37
03;Allier;Saint-Félix;187;55;86;78
03;Allier;Saint-Léger-sur-Vouzance;159;57;78;54
03;Allier;Saint-Menoux;638;162;299;222
03;Allier;Saint-Pierre-Laval;242;61;119;101
03;Allier;Saint-Pourçain-sur-Besbre;244;70;110;107
03;Allier;Saint-Pourçain-sur-Sioule;2761;1034;1368;1154
03;Allier;Saint-Rémy-en-Rollat;1091;286;508;488
03;Allier;Saint-Victor;1384;310;656;584
03;Allier;Saint-Yorre;1431;489;652;640
03;Allier;Saulzet;259;68;121;114
03;Allier;Sauvagny;65;15;37;24
03;Allier;Serbannes;585;143;291;241
03;Allier;Seuillet;307;57;143;125
03;Allier;Sussat;76;15;41;33
03;Allier;Target;185;60;92;74
03;Allier;Taxat-Senat;145;22;92;43
03;Allier;Le Theil;231;69;117;86
03;Allier;Theneuille;230;68;99;85
03;Allier;Thiel-sur-Acolin;666;158;322;290
03;Allier;Toulon-sur-Allier;758;179;376;281
03;Allier;Trévol;989;249;502;368
03;Allier;Tronget;520;120;226;208
03;Allier;Ussel-d'Allier;111;26;58;39
03;Allier;Vaumas;299;103;136;135
03;Allier;Vendat;1544;358;778;623
03;Allier;Le Vernet;1205;307;613;464
03;Allier;Verneuil-en-Bourbonnais;168;37;77;72
03;Allier;Vichy;11979;5706;6768;4195
03;Allier;Vicq;214;68;115;68
03;Allier;Vieure;163;45;72;61
03;Allier;Villebret;829;184;395;343
03;Allier;Yzeure;7140;2529;3907;2394
