44;Loire-Atlantique;;10771;3991;6740;2837
44;Loire-Atlantique;;3019;874;1539;1205
44;Loire-Atlantique;;1728;416;1070;515
44;Loire-Atlantique;;1729;515;951;586
44;Loire-Atlantique;;1791;452;1063;531
44;Loire-Atlantique;;2409;520;1396;754
44;Loire-Atlantique;;12207;3306;8659;2613
44;Loire-Atlantique;;1536;365;863;491
44;Loire-Atlantique;;2481;706;1536;691
44;Loire-Atlantique;;4206;1197;2510;1313
44;Loire-Atlantique;;2401;640;1187;963
44;Loire-Atlantique;;440;153;257;162
44;Loire-Atlantique;;2059;508;1321;582
44;Loire-Atlantique;;2006;493;1143;642
44;Loire-Atlantique;;12660;3272;9012;2565
44;Loire-Atlantique;;6107;2669;3633;1918
44;Loire-Atlantique;;1920;409;1218;536
44;Loire-Atlantique;;1693;459;805;738
44;Loire-Atlantique;;704;173;343;280
44;Loire-Atlantique;;3776;1020;2134;1293
44;Loire-Atlantique;;4609;1216;3205;964
44;Loire-Atlantique;;638;196;299;289
44;Loire-Atlantique;;2262;585;1219;842
44;Loire-Atlantique;;1646;522;795;682
44;Loire-Atlantique;;12459;4529;7522;3499
44;Loire-Atlantique;;1519;405;809;511
44;Loire-Atlantique;;3027;913;1805;986
44;Loire-Atlantique;;1734;528;809;721
44;Loire-Atlantique;;1782;609;1022;608
44;Loire-Atlantique;;1324;341;629;561
44;Loire-Atlantique;;1724;569;939;611
44;Loire-Atlantique;;13086;3418;8242;3829
44;Loire-Atlantique;;2097;551;1165;703
44;Loire-Atlantique;;1369;340;667;533
44;Loire-Atlantique;;266;84;121;111
44;Loire-Atlantique;;1854;580;912;768
44;Loire-Atlantique;;1006;320;568;319
44;Loire-Atlantique;;2406;490;1491;701
44;Loire-Atlantique;;2956;623;1879;800
44;Loire-Atlantique;;470;120;262;170
44;Loire-Atlantique;;3901;1008;2466;1076
44;Loire-Atlantique;;2985;1010;1525;1133
44;Loire-Atlantique;;2017;537;973;840
44;Loire-Atlantique;;11361;3125;6909;3403
44;Loire-Atlantique;;3082;688;1985;794
44;Loire-Atlantique;;4016;929;2666;1025
44;Loire-Atlantique;;4198;1155;2200;1580
44;Loire-Atlantique;;3722;1159;2130;1251
44;Loire-Atlantique;;2255;689;1484;487
44;Loire-Atlantique;;1113;313;547;489
44;Loire-Atlantique;;724;249;386;288
44;Loire-Atlantique;;1422;416;776;493
44;Loire-Atlantique;;1865;488;1105;592
44;Loire-Atlantique;;458;120;265;140
44;Loire-Atlantique;;2604;697;1361;1069
44;Loire-Atlantique;;3153;733;1761;1093
44;Loire-Atlantique;;1283;452;643;528
44;Loire-Atlantique;;4881;1280;2990;1423
44;Loire-Atlantique;;617;138;295;268
44;Loire-Atlantique;;567;193;300;211
44;Loire-Atlantique;;4548;1490;2544;1649
44;Loire-Atlantique;;1794;423;1106;501
44;Loire-Atlantique;;2079;467;1130;731
44;Loire-Atlantique;;830;296;402;361
44;Loire-Atlantique;;905;301;463;345
44;Loire-Atlantique;;402;154;194;170
44;Loire-Atlantique;;2077;520;1375;499
44;Loire-Atlantique;;764;216;410;288
44;Loire-Atlantique;;2912;657;1571;1050
44;Loire-Atlantique;;1874;432;1224;478
44;Loire-Atlantique;;3018;854;1433;1289
44;Loire-Atlantique;;1135;324;718;331
44;Loire-Atlantique;;1411;351;935;341
44;Loire-Atlantique;;3584;1296;2206;946
44;Loire-Atlantique;;1925;451;1163;567
44;Loire-Atlantique;;523;118;283;191
44;Loire-Atlantique;;1345;311;784;413
44;Loire-Atlantique;;1153;329;606;424
44;Loire-Atlantique;;1740;414;1083;494
44;Loire-Atlantique;;140109;56787;103996;24163
44;Loire-Atlantique;;5517;1618;3385;1622
44;Loire-Atlantique;;1267;462;701;440
44;Loire-Atlantique;;336;94;157;141
44;Loire-Atlantique;;2409;651;1394;771
44;Loire-Atlantique;;15434;5070;11029;3047
44;Loire-Atlantique;;2430;650;1455;698
44;Loire-Atlantique;;1468;523;738;555
44;Loire-Atlantique;;2026;507;1263;547
44;Loire-Atlantique;;1102;282;581;438
44;Loire-Atlantique;;2945;991;1602;985
44;Loire-Atlantique;;237;85;113;102
44;Loire-Atlantique;;2290;615;1320;755
44;Loire-Atlantique;;427;126;204;190
44;Loire-Atlantique;;2139;458;1336;632
44;Loire-Atlantique;;3030;859;1602;1129
44;Loire-Atlantique;;1559;406;887;521
44;Loire-Atlantique;;2981;955;1515;1145
44;Loire-Atlantique;;6186;1937;3218;2311
44;Loire-Atlantique;;4090;1100;2576;1153
44;Loire-Atlantique;;12262;3461;7632;3594
44;Loire-Atlantique;;8677;2382;5630;2313
44;Loire-Atlantique;;1817;476;985;628
44;Loire-Atlantique;;599;139;294;250
44;Loire-Atlantique;;3637;1056;2246;1113
44;Loire-Atlantique;;1273;337;848;329
44;Loire-Atlantique;;1994;437;1120;702
44;Loire-Atlantique;;609;162;344;202
44;Loire-Atlantique;;791;190;373;325
44;Loire-Atlantique;;908;198;480;347
44;Loire-Atlantique;;678;182;381;235
44;Loire-Atlantique;;1146;259;677;362
44;Loire-Atlantique;;22320;8872;15393;4540
44;Loire-Atlantique;;1273;377;689;482
44;Loire-Atlantique;;1854;513;976;664
44;Loire-Atlantique;;1286;460;666;501
44;Loire-Atlantique;;363;89;169;164
44;Loire-Atlantique;;2171;739;1205;722
44;Loire-Atlantique;;2544;697;1360;895
44;Loire-Atlantique;;4397;1036;2566;1451
44;Loire-Atlantique;;1768;494;923;648
44;Loire-Atlantique;;968;273;447;436
44;Loire-Atlantique;;9247;2506;5591;2792
